[detectAndCompute_float_desc_checksum] pt0_h=4060997354 pt1_h=2654209239 pt2_h=3810936094 pt3_h=3105892460 pt4_h=3472837676 pt2_0_h=2292965912 pt2_1_h=3870056930 pt2_2_h=1056786328 pt2_3_h=4094696131 pt2_4_h=1348790151 
[detectAndCompute_float_match1] num_pts=3631 max_pts=10000
  pt7: x=531.555 y=32.0178 octave=0 response=0 size=2.4 angle=0.0794832 match=0 dist=0
  pt8: x=540.435 y=33.0109 octave=0 response=0 size=2.4 angle=0.114173 match=0 dist=0
  pt9: x=884.213 y=32.6477 octave=0 response=0 size=2.4 angle=4.61653 match=0 dist=0
  pt10: x=546.963 y=34.2935 octave=0 response=0 size=2.4 angle=3.26736 match=0 dist=0
  pt11: x=729.198 y=33.994 octave=0 response=0 size=2.4 angle=6.21779 match=0 dist=0
  pt12: x=556.644 y=35.257 octave=0 response=0 size=2.4 angle=4.9049 match=0 dist=0
  pt13: x=580.707 y=35.3395 octave=0 response=0 size=2.4 angle=1.38007 match=0 dist=0
  pt14: x=369.422 y=38.6872 octave=0 response=0 size=2.4 angle=3.09466 match=0 dist=0
  pt15: x=917.177 y=39.1671 octave=0 response=0 size=2.4 angle=5.85389 match=0 dist=0
  pt16: x=584.08 y=40.295 octave=0 response=0 size=2.4 angle=6.27543 match=0 dist=0
  pt17: x=361.175 y=40.6481 octave=0 response=0 size=2.4 angle=3.11205 match=0 dist=0
  pt18: x=344.245 y=42.4988 octave=0 response=0 size=2.4 angle=3.1979 match=0 dist=0
  pt19: x=590.193 y=41.6244 octave=0 response=0 size=2.4 angle=6.27863 match=0 dist=0
  pt20: x=596.496 y=41.9791 octave=0 response=0 size=2.4 angle=3.23396 match=0 dist=0
  pt21: x=597.561 y=42.8681 octave=1 response=0 size=2.8541 angle=6.04534 match=0 dist=0
  pt22: x=701.893 y=42.6773 octave=0 response=0 size=2.4 angle=3.26494 match=0 dist=0
  pt23: x=633.811 y=44.3575 octave=1 response=0 size=2.8541 angle=3.20748 match=0 dist=0
  pt24: x=150.147 y=44.6846 octave=1 response=0 size=2.8541 angle=3.24143 match=0 dist=0
